发现批次,资产编号,资产类型,逻辑主机,服务或项目,资源名称,位置,格式,标的范围,时间范围,字节数,最后修改时间,访问状态,发现证据,限制,后续任务
discovery-20260728T092404+0800,DS-000001,候选数据文件,ubuntu,binance-event,contracts.sqlite3,/opt/binance-event/data/contracts.sqlite3,SQLite,未限定,未知,3094261760,2026-07-28T09:23:54.032020+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000002,候选数据文件,ubuntu,binance-event,contracts_hand.csv,/opt/binance-event/data/contracts_hand.csv,CSV,未限定,未知,371,2026-06-11T00:39:19+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000003,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-07.jsonl,/opt/binance-event/data/observation_curves-2026-06-07.jsonl,JSONL,未限定,未知,12549952,2026-06-07T22:32:33+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000004,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-08.jsonl,/opt/binance-event/data/observation_curves-2026-06-08.jsonl,JSONL,未限定,未知,15322542,2026-06-08T22:57:55+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000005,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-09.jsonl,/opt/binance-event/data/observation_curves-2026-06-09.jsonl,JSONL,未限定,未知,2224277,2026-06-09T23:58:00+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000006,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-10.jsonl,/opt/binance-event/data/observation_curves-2026-06-10.jsonl,JSONL,未限定,未知,1152482,2026-06-10T22:16:25+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000007,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-11.jsonl,/opt/binance-event/data/observation_curves-2026-06-11.jsonl,JSONL,未限定,未知,331640,2026-06-11T23:02:06+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000008,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-12.jsonl,/opt/binance-event/data/observation_curves-2026-06-12.jsonl,JSONL,未限定,未知,369468,2026-06-12T23:15:16+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000009,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-13.jsonl,/opt/binance-event/data/observation_curves-2026-06-13.jsonl,JSONL,未限定,未知,174082,2026-06-13T16:11:11+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000010,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-14.jsonl,/opt/binance-event/data/observation_curves-2026-06-14.jsonl,JSONL,未限定,未知,373061,2026-06-14T22:36:23+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000011,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-15.jsonl,/opt/binance-event/data/observation_curves-2026-06-15.jsonl,JSONL,未限定,未知,715388,2026-06-15T21:20:04+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000012,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-16.jsonl,/opt/binance-event/data/observation_curves-2026-06-16.jsonl,JSONL,未限定,未知,464772,2026-06-16T21:13:53+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000013,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-17.jsonl,/opt/binance-event/data/observation_curves-2026-06-17.jsonl,JSONL,未限定,未知,283901,2026-06-17T16:51:38+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000014,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-20.jsonl,/opt/binance-event/data/observation_curves-2026-06-20.jsonl,JSONL,未限定,未知,39095,2026-06-20T09:33:32.971223+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000015,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-21.jsonl,/opt/binance-event/data/observation_curves-2026-06-21.jsonl,JSONL,未限定,未知,205736,2026-06-21T19:19:05.972261+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000016,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-22.jsonl,/opt/binance-event/data/observation_curves-2026-06-22.jsonl,JSONL,未限定,未知,440523,2026-06-22T21:45:32.925528+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000017,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-23.jsonl,/opt/binance-event/data/observation_curves-2026-06-23.jsonl,JSONL,未限定,未知,415638,2026-06-23T21:33:09.833586+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000018,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-24.jsonl,/opt/binance-event/data/observation_curves-2026-06-24.jsonl,JSONL,未限定,未知,232085,2026-06-24T23:45:57.089161+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000019,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-25.jsonl,/opt/binance-event/data/observation_curves-2026-06-25.jsonl,JSONL,未限定,未知,648968,2026-06-25T22:35:46.443248+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000020,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-26.jsonl,/opt/binance-event/data/observation_curves-2026-06-26.jsonl,JSONL,未限定,未知,482185,2026-06-26T21:57:48.081230+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000021,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-27.jsonl,/opt/binance-event/data/observation_curves-2026-06-27.jsonl,JSONL,未限定,未知,218376,2026-06-27T23:12:31.073283+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000022,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-28.jsonl,/opt/binance-event/data/observation_curves-2026-06-28.jsonl,JSONL,未限定,未知,284083,2026-06-28T23:55:53.633316+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000023,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-29.jsonl,/opt/binance-event/data/observation_curves-2026-06-29.jsonl,JSONL,未限定,未知,561878,2026-06-29T23:55:54.151804+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000024,候选数据文件,ubuntu,binance-event,observation_curves-2026-06-30.jsonl,/opt/binance-event/data/observation_curves-2026-06-30.jsonl,JSONL,未限定,未知,180059,2026-06-30T21:32:00.026181+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000025,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-01.jsonl,/opt/binance-event/data/observation_curves-2026-07-01.jsonl,JSONL,未限定,未知,108898,2026-07-01T23:25:36.596394+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000026,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-02.jsonl,/opt/binance-event/data/observation_curves-2026-07-02.jsonl,JSONL,未限定,未知,432029,2026-07-02T22:14:34.941440+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000027,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-03.jsonl,/opt/binance-event/data/observation_curves-2026-07-03.jsonl,JSONL,未限定,未知,265338,2026-07-03T23:09:27.606091+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000028,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-04.jsonl,/opt/binance-event/data/observation_curves-2026-07-04.jsonl,JSONL,未限定,未知,198176,2026-07-04T09:10:56.828823+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000029,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-06.jsonl,/opt/binance-event/data/observation_curves-2026-07-06.jsonl,JSONL,未限定,未知,475552,2026-07-06T23:53:12.885665+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000030,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-07.jsonl,/opt/binance-event/data/observation_curves-2026-07-07.jsonl,JSONL,未限定,未知,314673,2026-07-07T22:37:04.303189+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000031,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-08.jsonl,/opt/binance-event/data/observation_curves-2026-07-08.jsonl,JSONL,未限定,未知,294391,2026-07-08T21:50:32.151567+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000032,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-09.jsonl,/opt/binance-event/data/observation_curves-2026-07-09.jsonl,JSONL,未限定,未知,269671,2026-07-09T15:48:26.858701+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000033,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-10.jsonl,/opt/binance-event/data/observation_curves-2026-07-10.jsonl,JSONL,未限定,未知,457069,2026-07-10T22:22:55.852122+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000034,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-11.jsonl,/opt/binance-event/data/observation_curves-2026-07-11.jsonl,JSONL,未限定,未知,130854,2026-07-11T23:39:32.328423+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000035,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-12.jsonl,/opt/binance-event/data/observation_curves-2026-07-12.jsonl,JSONL,未限定,未知,419948,2026-07-12T23:32:42.694330+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000036,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-13.jsonl,/opt/binance-event/data/observation_curves-2026-07-13.jsonl,JSONL,未限定,未知,149412,2026-07-13T21:44:09.811834+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000037,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-14.jsonl,/opt/binance-event/data/observation_curves-2026-07-14.jsonl,JSONL,未限定,未知,302722,2026-07-14T23:32:26.244903+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000038,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-15.jsonl,/opt/binance-event/data/observation_curves-2026-07-15.jsonl,JSONL,未限定,未知,407902,2026-07-15T21:18:53.253088+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000039,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-16.jsonl,/opt/binance-event/data/observation_curves-2026-07-16.jsonl,JSONL,未限定,未知,252378,2026-07-16T23:32:08.040951+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000040,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-17.jsonl,/opt/binance-event/data/observation_curves-2026-07-17.jsonl,JSONL,未限定,未知,225838,2026-07-17T14:21:01.442117+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000041,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-27.jsonl,/opt/binance-event/data/observation_curves-2026-07-27.jsonl,JSONL,未限定,未知,62832,2026-07-27T22:42:35.250885+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000042,候选数据文件,ubuntu,binance-event,observation_curves-2026-07-28.jsonl,/opt/binance-event/data/observation_curves-2026-07-28.jsonl,JSONL,未限定,未知,178523,2026-07-28T09:12:39.256250+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000043,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-05-24_2026-06-09.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-05-24_2026-06-09.csv,CSV,BTC,未知,63734098,2026-06-11T23:30:13+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000044,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-05-26_2026-06-10.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-05-26_2026-06-10.csv,CSV,BTC,未知,60464328,2026-06-12T08:07:54+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000045,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-05-27_2026-06-11.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-05-27_2026-06-11.csv,CSV,BTC,未知,60710354,2026-06-12T09:22:02+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000046,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-05-27_2026-06-12.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-05-27_2026-06-12.csv,CSV,BTC,未知,53,2026-06-12T00:05:02+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000047,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-05-28_2026-06-12.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-05-28_2026-06-12.csv,CSV,BTC,未知,60807995,2026-06-13T00:05:08+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000048,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-05-29_2026-06-13.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-05-29_2026-06-13.csv,CSV,BTC,未知,60529169,2026-06-14T00:05:05+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000049,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-05-30_2026-06-14.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-05-30_2026-06-14.csv,CSV,BTC,未知,60423250,2026-06-15T00:05:11+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000050,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-05-31_2026-06-15.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-05-31_2026-06-15.csv,CSV,BTC,未知,60927902,2026-06-16T00:05:11+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000051,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-01_2026-06-16.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-01_2026-06-16.csv,CSV,BTC,未知,61610066,2026-06-17T00:05:11+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000052,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-02_2026-06-17.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-02_2026-06-17.csv,CSV,BTC,未知,60839340,2026-06-18T00:05:14+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000053,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-03_2026-06-18.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-03_2026-06-18.csv,CSV,BTC,未知,53,2026-06-19T00:05:01+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000054,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-04_2026-06-19.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-04_2026-06-19.csv,CSV,BTC,未知,53,2026-06-20T00:05:00.277249+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000055,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-05_2026-06-20.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-05_2026-06-20.csv,CSV,BTC,未知,58608269,2026-06-21T06:01:36.057282+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000056,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-06_2026-06-21.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-06_2026-06-21.csv,CSV,BTC,未知,57342512,2026-06-22T00:05:06.316399+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000057,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-07_2026-06-22.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-07_2026-06-22.csv,CSV,BTC,未知,56961967,2026-06-23T00:05:10.381983+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000058,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-08_2026-06-23.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-08_2026-06-23.csv,CSV,BTC,未知,56928896,2026-06-24T00:05:07.485477+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000059,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-09_2026-06-24.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-09_2026-06-24.csv,CSV,BTC,未知,56729147,2026-06-25T00:05:15.682075+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000060,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-10_2026-06-10.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-10_2026-06-10.csv,CSV,BTC,未知,3900690,2026-06-12T08:02:24+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000061,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-10_2026-06-25.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-10_2026-06-25.csv,CSV,BTC,未知,56733755,2026-06-26T00:05:17.589969+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000062,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-11_2026-06-11.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-11_2026-06-11.csv,CSV,BTC,未知,3773951,2026-06-12T09:21:16+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000063,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-11_2026-06-26.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-11_2026-06-26.csv,CSV,BTC,未知,56771339,2026-06-27T00:05:25.799783+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000064,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-12_2026-06-27.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-12_2026-06-27.csv,CSV,BTC,未知,56607726,2026-06-28T00:05:19.524819+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000065,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-13_2026-06-28.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-13_2026-06-28.csv,CSV,BTC,未知,56377172,2026-06-29T00:05:14.375198+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000066,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-14_2026-06-29.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-14_2026-06-29.csv,CSV,BTC,未知,56595955,2026-06-30T00:05:16.102836+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000067,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-15_2026-06-30.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-15_2026-06-30.csv,CSV,BTC,未知,56482834,2026-07-01T00:05:05.314755+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000068,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-16_2026-07-01.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-16_2026-07-01.csv,CSV,BTC,未知,53,2026-07-02T00:05:00.048646+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000069,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-18_2026-06-18.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-18_2026-06-18.csv,CSV,BTC,未知,3804082,2026-06-21T05:54:19.603559+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000070,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-18_2026-07-03.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-18_2026-07-03.csv,CSV,BTC,未知,7414174,2026-07-04T00:05:14.350970+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000071,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-19_2026-06-19.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-19_2026-06-19.csv,CSV,BTC,未知,3610145,2026-06-21T05:54:26.483045+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000072,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-20_2026-07-05.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-20_2026-07-05.csv,CSV,BTC,未知,53,2026-07-06T00:05:07.749493+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000073,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-21_2026-07-06.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-21_2026-07-06.csv,CSV,BTC,未知,53,2026-07-07T00:05:00.042516+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
discovery-20260728T092404+0800,DS-000074,候选数据文件,ubuntu,binance-event,BTCUSDT_seconds_2026-06-22_2026-07-07.csv,/opt/binance-event/data/replay_cache/session_adaptive_reversal/BTCUSDT_seconds_2026-06-22_2026-07-07.csv,CSV,BTC,未知,53,2026-07-08T00:05:00.833797+08:00,元数据可访问,白名单目录内候选文件stat元数据,未读取文件内容；时间范围、完整性和质量未知,任务-000004
